一丁不识	yi1ding1bu4shi2
一不扭众	yi1bu4niu3zhong4
一世之雄	yi1shi4zhi1xiong2
一世龙门	yi1shi4long2men2
一丘之貉	yi1qiu1zhi1he2
一丝一毫	yi1si1yi1hao2
一丝不乱	yi1si1bu4luan4
一丝不挂	yi1si1bu4gua4
一丝不紊	yi1si1bu4wen3
一丝不苟	yi1si1bu4gou3
一丝两气	yi1si1liang3qi4
一丝半粟	yi1si1ban4su4
一个半个	yi1ge4ban4ge4
一个萝卜一个坑	yi1ge4luo2bo5yi1ge4keng1
一串骊珠	yi1chuan4li2zhu1
一举一动	yi1ju3yi1dong4
一举万里	yi1ju3wan4li3
一举三反	yi1ju3san1fan3
一举两全	yi1ju3liang3quan2
一举两失	yi1ju3liang3shi1
一举两得	yi1ju3liang3de2
一举千里	yi1ju3qian1li3
一举成名	yi1ju3cheng2ming2
一举手之劳	yi1ju3shou3zhi1lao2
一之为甚	yi1zhi1wei2shen4
一之已甚	yi1zhi1yi3shen4
一之谓甚	yi1zhi1wei4shen4
一乱涂地	yi1luan4tu2di4
一了百了	yi1liao3bai3liao3
一事不知	yi1shi4bu4zhi1
一事无成	yi1shi4wu2cheng2
一些半些	yi1xie1ban4xie1
一人之交	yi1ren2zhi1jiao1
一人敌	yi1ren2di2
一人有庆	yi1ren2you3qing4
一介不取	yi1jie4bu4qu3
一介不苟	yi1jie4bu4gou3
一介之善	yi1jie4zhi1shan4
一介之士	yi1jie4zhi1shi4
一介之才	yi1jie4zhi1cai2
一介书生	yi1jie4shu1sheng1
一仍旧贯	yi1reng2jiu4guan4
一代不如一代	yi1dai4bu4ru2yi1dai4
一代宗臣	yi1dai4zong1chen2
一代文宗	yi1dai4wen2zong1
一代楷模	yi1dai4kai3mo2
一代谈宗	yi1dai4tan2zong1
一代风流	yi1dai4feng1liu2
一代鼎臣	yi1dai4ding3chen2
一以当十	yi1yi3dang1shi2
一以当百	yi1yi3dang1bai3
一以贯之	yi1yi3guan4zhi1
一体同心	yi1ti3tong2xin1
一佛出世	yi1fo2chu1shi4
一倡一和	yi1chang4yi1he2
一倡三叹	yi1chang4san1tan4
一倡百和	yi1chang4bai3he4
一偏之见	yi1pian1zhi1jian4
一偏之论	yi1pian1zhi1lun4
一傅众咻	yi1fu4zhong4xiu1
一元复始	yi1yuan2fu4shi3
一元大武	yi1yuan2da4wu3
一决胜负	yi1jue2sheng4fu4
一刀两断	yi1dao1liang3duan4
一刀两段	yi1dao1liang3duan4
一刀切	yi1dao1qie1
一分一毫	yi1fen1yi1hao2
一分为二	yi1fen1wei2er4
一切万物	yi1qie1wan4wu4
一切众生	yi1qie4zhong4sheng1
一刹那	yi1cha4na4
一刹那间	yi1cha4na4jian1
一刻千金	yi1ke4qian1jin1
一剑之任	yi1jian4zhi1ren4
一力承当	yi1li4cheng2dang1
一动不动	yi1dong4bu4dong4
一动不如一静	yi1dong4bu4ru2yi1jing4
一劳久逸	yi1lao2jiu3yi4
一劳永逸	yi1lao2yong3yi4
一匡九合	yi1kuang1jiu3he2
一匡天下	yi1kuang1tian1xia4
一十八层地狱	yi1shi2ba1ceng2di4yu4
一十八般兵器	yi1shi2ba1ban1bing1qi4
一十八般武艺	yi1shi2ba1ban1wu3yi4
一卧不起	yi1wo4bu4qi3
一厢情原	yi1xiang1qing2yuan2
一厢情愿	yi1xiang1qing2yuan4
一去不复返	yi1qu4bu4fu4fan3
一去不返	yi1qu4bu4fan3
一双两好	yi1shuang1liang3hao3
一反其道	yi1fan3qi2dao4
一反常态	yi1fan3chang2tai4
一反既往	yi1fan3ji4wang3
一发破的	yi1fa1po4di4
一口一声	yi1kou3yi1sheng1
一口三舌	yi1kou3san1she2
一口两匙	yi1kou3liang3chi2
一口同声	yi1kou3tong2sheng1
一口同音	yi1kou3tong2yin1
一口吸尽西江水	yi1kou3xi1jin4xi1jiang1shui3
一口咬定	yi1kou3yao3ding4
一叶报秋	yi1ye4bao4qiu1
一叶知秋	yi1ye4zhi1qiu1
一叶落知天下秋	yi1ye4luo4zhi1tian1xia4qiu1
一叶迷山	yi1ye4mi2shan1
一叶障目	yi1ye4zhang4mu4
一吐为快	yi1tu3wei2kuai4
一吠百声	yi1fei4bai3sheng1
一吹一唱	yi1chui1yi1chang4
一呵而就	yi1he1er2jiu4
一呼再喏	yi1hu1zai4nuo4
一呼百应	yi1hu1bai3ying4
一呼百诺	yi1hu1bai3nuo4
一命之荣	yi1ming4zhi1rong2
一命呜呼	yi1ming4wu1hu1
一命归西	yi1ming4gui1xi1
一命归阴	yi1ming4gui1yin1
一命鸣呼	yi1ming4ming2hu1
一品白衫	yi1pin3bai2shan1
一哄而散	yi1hong1er2san4
一哄而起	yi1hong1er2qi3
一唱一和	yi1chang4yi1he4
一唱三叹	yi1chang4san1tan4
一喷一醒	yi1pen1yi1xing3
一噎止餐	yi1ye1zhi3can1
一嚬一笑	yi1pin2yi1xiao4
一团和气	yi1tuan2he2qi4
一团漆黑	yi1tuan2qi1hei1
一国三公	yi1guo2san1gong1
一坐一起	yi1zuo4yi1qi3
一坐尽倾	yi1zuo4jin4qing1
一坐尽惊	yi1zuo4jin4jing1
一坐皆惊	yi1zuo4jie1jing1
一块石头落了地	yi1kuai4shi2tou5luo4le5di4
一块石头落地	yi1kuai4shi2tou2luo4di4
一塌刮子	yi1ta1gua1zi5
一塌胡涂	yi1ta1hu2tu2
一声不吭	yi1sheng1bu4keng1
一声不响	yi1sheng1bu4xiang3
一壶千金	yi1hu2qian1jin1
一夔一契	yi1kui2yi1qi4
一夔已足	yi1kui2yi3zu2
一夕一朝	yi1xi1yi1zhao1
一天一地	yi1tian1yi1di4
一天星斗	yi1tian1xing1dou3
一夫之勇	yi1fu1zhi1yong3
一夫之用	yi1fu1zhi1yong4
一夫当关	yi1fu1dang1guan1
一失足成千古恨	yi1shi1zu2cheng2qian1gu3hen4
一如既往	yi1ru2ji4wang3
一孔不达	yi1kong3bu4da2
一孔之见	yi1kong3zhi1jian4
一字一句	yi1zi4yi1ju4
一字一板	yi1zi4yi1ban3
一字一泪	yi1zi4yi1lei4
一字一珠	yi1zi4yi1zhu1
一字不差	yi1zi4bu4cha4
一字不易	yi1zi4bu4yi4
一字不苟	yi1zi4bu4gou3
一字之师	yi1zi4zhi1shi1
一字兼金	yi1zi4jian1jin1
一字千秋	yi1zi4qian1qiu1
一字千金	yi1zi4qian1jin1
一字千钧	yi1zi4qian1jun1
一字师	yi1zi4shi1
一字褒贬	yi1zi4bao1bian3
一字连城	yi1zi4lian2cheng2
一字长城	yi1zi4chang2cheng2
一字长蛇阵	yi1zi4chang2she2zhen4
一官半职	yi1guan1ban4zhi2
一定不易	yi1ding4bu4yi4
一定不移	yi1ding4bu4yi2
一定之规	yi1ding4zhi1gui1
一客不烦二主	yi1ke4bu4fan2er4zhu3
一室生春	yi1shi4sheng1chun1
一家一火	yi1jia1yi1huo3
一家一计	yi1jia1yi1ji4
一家之主	yi1jia1zhi1zhu3
一家之作	yi1jia1zhi1zuo4
一家之学	yi1jia1zhi1xue2
一家之言	yi1jia1zhi1yan2
一家之计	yi1jia1zhi1ji4
一家之辞	yi1jia1zhi1ci2
一家之长	yi1jia1zhi1zhang3
一家无二	yi1jia1wu2er4
一家眷属	yi1jia1juan4shu3
一家老小	yi1jia1lao3xiao3
一寒如此	yi1han2ru2ci3
一寸丹心	yi1cun4dan1xin1
一寸光阴一寸金	yi1cun4guang1yin1yi1cun4jin1
一寸赤心	yi1cun4chi4xin1
一射之地	yi1she4zhi1di4
一小撮	yi1xiao3cuo1
一尘不到	yi1chen2bu4dao4
一尘不染	yi1chen2bu4ran3
一尘不缁	yi1chen2bu4zi1
一尺水十丈波	yi1chi3shui3shi2zhang4bo1
一尺水翻腾做一丈波	yi1chi3shui3fan1teng2zuo4yi1zhang4bo1
一尺水翻腾做百丈波	yi1chi3shui3fan1teng2zuo4bai3zhang4bo1
一山不藏二虎	yi1shan1bu4cang2er4hu3
一岁三迁	yi1sui4san1qian1
